source,target
1013086,1023570
1013086,1023570
1013086,3553299
1013086,481401
1013086,481401
1013086,481401
1013086,1023570
1013086,747423
1013086,1023570
1013086,481401
1013086,481401
6465641,1013086
1023570,1013086
2722095,1013086
1013086,377042
1013086,377042
3288503,1019129
3461247,1019129
1019129,2873117
7557720,1019129
1560424,1019129
1560424,1019129
1019129,2860437
1019129,2687491
1019129,1803932
1019129,1803932
3981055,1019129
1019129,3461247
1071123,1019129
2887370,1019129
1921847,1019129
1501749,1019129
1019129,1457607
1019129,1127716
986061,1025962
986061,1025962
1025962,379837
1025962,986061
1025962,287095
1025962,50456
1025962,50456
1025962,50456
1025962,986061
1025962,287095
724321,1025962
287095,1025962
287095,1025962
986061,1025962
1025962,724321
986061,1025962
986061,1025962
1025962,50456
370010,1025962
287095,1025962
986061,1025962
354461,1025962
144277,1025962
1025962,596295
1025962,1519424
1025962,379837
379837,1025962
1025962,986061
1025962,287095
986061,1025962
4350672,1025962
1025962,287095
1025962,724321
1025962,986061
1025962,287095
287095,1025962
724321,1025962
986061,1025962
1025962,287095
986061,1025962
1025962,50456
287095,1025962
986061,1025962
2295883,1025962
287095,1025962
1025962,287095
724321,1025962
724321,1025962
287095,1025962
287095,1025962
287095,1025962
1025962,50456
1025962,704200
2467720,1027469
2393610,1027469
1447908,1027469
1027469,1660018
1027469,360726
2393610,1027469
1027469,360726
1027469,1152094
2467698,1027469
1027469,2431518
1027469,1434261
2467684,1027469
2467720,1027469
2467698,1027469
2467698,1027469
1027469,2511677
1310523,1027469
1027469,1304027
1027469,2467684
2467698,1027469
1027469,1453827
2467698,1027469
1027469,2467698
1027469,1534395
1027469,852126
1027469,1447908
1027469,1514330
1027469,1514330
1447908,1027469
1027469,1304027
1027469,1293033
1027469,1447908
1438814,1027469
1027469,360726
2393610,1027469
1027469,1771724
1027469,1771724
1027469,1771724
1027469,1990177
1027469,1990177
1453827,1027469
1771724,1027469
2467698,1027469
1027469,1447908
1027469,1990177
1027469,1304027
2467698,1027469
2393610,1027469
1447908,1027469
1027469,1447908
548791,1027469
1027469,708567
1027469,1447908
1027469,1447908
1027469,1447908
1152094,1027469
1027469,1304027
1027469,1447908
721586,1027469
1447908,1027469
1027469,1304027
1398730,1027469
1219571,1027469
1027469,708567
1740522,1027469
1027469,2467698
1027469,360726
1447908,1027469
1447908,1027469
1447908,1027469
1447908,1027469
2209206,1027469
721586,1027469
1990177,1027469
1447908,1027469
1027469,206714
1027469,360726
708567,1027469
1027469,1398730
1447908,1027469
2467720,1027469
1453827,1027469
1433459,1027469
1457250,1027469
992332,1027469
992327,1027469
1027469,2467720
1447908,1027469
1447908,1027469
1453827,1027469
1027469,1398730
1027469,1990177
1447908,1027469
1447908,1027469
1027469,1771724
